titre_passage,debut,fin
1st EXERCISE CHANGING THE WEIGHT 1'58,2:32,3:21
TODAY'S ELEMENT,1:12,1:23
STANDING LEG,2:8,2:17
1st EXERCISE CRAB WALK # 1,2:30,2:36
2nd EXERCISE CRAB WALK #2,3:14,3:22
DETAILS,3:49,4:2
FROM THE BACK,4:25,4:37
3rd EXERCISE FREE FOOT CATCH & REDIRECT,5:4,5:23
4th EXERCISE BACK & FORWARD CROSS,5:56,6:34
2nd & 3rd EXERCISE COMBINED CHALLENGE,6:50,6:54
TODAY'S ELEMENT IN MY FAVORITE COMBINATION,7:8,7:42
TODAY'S ELEMENT - FORWARD ENROSQUE - BACK ENROSQUE MORE POSSIBILITIES,8:46,9:0
TODAY'S ELEMENT - BACK ENROSQUE - FORWARD ENROSQUE YEY ANOTHER POSSIBILITY,9:18,9:27